env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,0.0009,-0.0706,0.0004,0.0005
1100,0.0003,-0.0459,0.0011,0.0019
1200,0.0003,-0.0372,0.0007,0.0012
1300,0.0004,-0.0224,0.0007,0.0009
1400,0.0004,-0.0161,0.0018,0.0035
1500,0.0004,-0.0075,0.0025,0.0052
1600,0.0004,0.0026,0.0011,0.0019
1700,0.0004,0.0129,0.004,0.0087
1800,0.0005,0.0189,0.0017,0.0033
1900,0.0004,0.0242,0.0022,0.0046
2000,0.0005,0.0403,0.003,0.0062
2100,0.0005,0.0568,0.0116,0.0275
2200,0.0005,0.0669,0.0042,0.0083
2300,0.0009,0.0948,0.0034,0.0073
2400,0.0007,0.1101,0.0033,0.0068
2500,0.0006,0.1244,0.0057,0.0125
2600,0.0008,0.1439,0.0163,0.0409
2700,0.0008,0.1704,0.0829,0.2015
2800,0.0008,0.195,0.0292,0.0741
2900,0.0011,0.2401,0.0298,0.0703
3000,0.0013,0.2814,0.009,0.0217
3100,0.0011,0.3181,0.0082,0.0182
3200,0.001,0.3446,0.0398,0.0983
3300,0.0018,0.3907,0.0302,0.0724
3400,0.0014,0.4276,0.047,0.1142
3500,0.0013,0.4739,0.0197,0.0466
3600,0.0013,0.5071,0.0268,0.0667
3700,0.0014,0.5532,0.014,0.0347
3800,0.0023,0.5959,0.0326,0.0785
3900,0.002,0.6249,0.0551,0.1352
4000,0.0018,0.6633,0.022,0.054
4100,0.0019,0.6983,0.0329,0.0885
4200,0.0021,0.724,0.0416,0.0956
4300,0.0021,0.7747,0.0476,0.1138
4400,0.003,0.8203,0.0607,0.1556
4500,0.0033,0.873,0.0733,0.1799
4600,0.0036,0.9103,0.0335,0.0882
4700,0.0038,0.9532,0.0437,0.1034
4800,0.0065,0.9792,0.0992,0.2295
4900,0.0045,1.0339,0.0338,0.0805
5000,0.0045,1.0572,0.0185,0.0451
5100,0.0048,1.111,0.0392,0.0951
5200,0.0051,1.1728,0.0918,0.2345
5300,0.006,1.2406,0.0493,0.1205
5400,0.006,1.2837,0.1334,0.3153
5500,0.0068,1.3307,0.0771,0.1956
5600,0.0074,1.3927,0.2144,0.5522
5700,0.0107,1.4386,0.0942,0.2464
5800,0.0081,1.4947,0.0751,0.1884
5900,0.0086,1.5535,0.1727,0.4342
6000,0.0088,1.5944,0.1318,0.3338
6100,0.01,1.6521,1.0263,2.6169
6200,0.0117,1.7109,0.1499,0.3738
6300,0.0107,1.7637,0.0845,0.2096
6400,0.0119,1.8206,1.6408,4.228
6500,0.0183,1.8807,0.1825,0.4733
6600,0.0141,1.9619,0.1426,0.3491
6700,0.0145,2.0317,0.1071,0.2697
6800,0.0162,2.0715,0.2761,0.6838
6900,0.0159,2.1359,0.0831,0.1999
7000,0.0161,2.2023,0.118,0.2942
7100,0.0174,2.2722,0.3008,0.7349
7200,0.0175,2.3298,0.1725,0.451
7300,0.0246,2.4078,0.3089,0.8075
7400,0.0224,2.4821,0.3905,0.9649
7500,0.0255,2.5567,0.1475,0.3574
7600,0.0242,2.6386,0.35,0.8731
7700,0.0251,2.7007,0.3764,0.8926
7800,0.0295,2.7903,0.8294,2.1454
7900,0.0345,2.8637,0.7885,1.9493
8000,0.0324,2.9569,0.2844,0.7179
8100,0.0339,3.0461,0.9238,2.4092
8200,0.0347,3.1231,1.1002,2.951
8300,0.0433,3.1909,0.5673,1.4375
8400,0.0429,3.2759,0.4122,1.0126
8500,0.0463,3.3618,0.4454,1.1499
8600,0.0545,3.4314,0.5285,1.351
8700,0.053,3.5464,0.7136,1.7782
8800,0.0554,3.6359,0.3437,0.8464
8900,0.0545,3.6953,0.6861,1.738
9000,0.0585,3.7891,0.4841,1.2867
9100,0.0621,3.8882,1.3227,3.1973
9200,0.0849,3.9752,1.5852,4.1887
9300,0.0767,4.0732,0.7899,1.9317
9400,0.0818,4.1605,0.7253,1.9713
9500,0.0758,4.231,0.9212,2.2921
9600,0.1347,4.299,2.0346,5.0025
9700,0.1115,4.4343,0.8345,2.2299
9800,0.1028,4.5416,0.5466,1.2676
9900,0.1075,4.6662,0.4002,0.9809
10000,0.1154,4.7509,0.8361,2.111
10100,0.112,4.8763,1.2402,3.2377
10200,0.1251,4.9939,1.1086,2.9783
10300,0.1234,5.0905,1.7354,4.5044
10400,0.1876,5.2332,2.2493,5.9888
10500,0.1576,5.3314,0.6302,1.5598
10600,0.1501,5.4462,1.3223,3.3175
10700,0.1648,5.5441,2.8012,7.443
10800,0.3623,5.6453,2.129,5.1142
10900,0.2037,5.7993,1.7455,4.455
11000,0.2095,5.9416,1.6485,4.1734
11100,0.217,6.051,1.556,3.9897
11200,0.2464,6.1374,6.4035,15.9619
11300,0.2383,6.2907,2.7534,6.8373
11400,0.2632,6.4342,3.7991,9.444
11500,0.2893,6.5581,4.9566,13.0509
11600,0.3807,6.7238,5.788,15.5137
11700,0.3563,6.9378,2.1355,5.7293
11800,0.3332,7.0387,3.1192,7.9083
11900,0.3327,7.2158,6.2577,15.9124
12000,0.349,7.3779,4.004,9.9887
12100,0.4574,7.6149,4.4668,11.178
12200,0.4756,7.7619,7.7378,20.5393
12300,0.5453,7.9514,7.3034,19.8879
12400,0.5356,8.1885,9.319,23.3544
12500,1.6901,8.256,18.2615,49.3877
12600,1.2051,8.4779,35.6683,95.3388
12700,1.0391,8.72,9.2942,23.8066
12800,0.8458,8.9575,4.6722,12.7426
12900,0.8156,9.1785,9.8098,26.3835
13000,0.9508,9.5902,7.7412,19.4752
13100,0.9618,9.7883,13.4872,35.8286
13200,1.1307,10.0467,18.1507,45.5667
13300,1.0701,10.2236,10.6394,26.6384
13400,1.2352,10.5231,15.6939,42.3257
13500,1.223,10.7683,14.4432,34.6363
13600,1.503,11.1296,56.5543,155.8891
13700,1.7679,11.4522,15.5104,39.6142
13800,1.3842,11.7861,7.9818,21.3347
13900,1.4658,12.1381,20.7243,56.0303
14000,2.1257,12.3788,24.3499,65.9721
14100,1.9172,12.8659,14.5753,36.3192
14200,1.6424,13.03,7.1105,18.4299
14300,2.0696,13.6876,24.152,67.3912
14400,1.9338,13.871,36.9687,93.8459
14500,2.6251,14.3981,78.9001,214.0487
14600,6.1507,14.5294,86.7846,226.9705
14700,5.6056,14.7564,59.888,160.2659
14800,3.4971,15.1254,35.02,90.1222
14900,3.3907,15.7392,19.6434,49.3503
15000,3.2434,16.3843,50.2531,138.9855
15100,3.7042,16.8296,41.3144,110.9342
15200,4.3741,17.3269,56.4287,145.7359
15300,3.6994,17.5926,37.6108,91.7279
15400,4.0043,18.2064,36.9888,95.4353
15500,4.0143,18.4814,54.6339,145.0696
15600,4.2277,18.9054,42.2053,109.8004
15700,3.9838,19.8469,28.7773,77.6184
15800,4.0964,20.1589,33.4848,85.2377
15900,13.6366,20.6487,212.7622,595.3565
16000,9.5528,20.8606,134.2011,375.7804
16100,4.9215,21.5514,28.2239,75.1299
16200,4.6531,21.7559,27.736,70.8609
16300,4.8845,22.4704,31.6162,78.6303
16400,5.2772,23.0273,91.1015,234.7188
16500,5.6663,23.6427,63.8645,159.9038
16600,6.0937,24.2811,66.3681,174.2623
16700,6.5447,24.6071,25.6235,67.1956
16800,5.922,25.1078,33.26,89.3681
16900,7.1112,26.3023,169.3164,423.9689
17000,7.388,26.5598,69.5496,180.74
17100,6.9007,26.7209,79.7408,207.3608
17200,9.9201,27.6752,112.0439,294.5069
17300,8.1683,28.3296,188.0458,469.8276
17400,7.8668,28.7047,84.6837,234.5463
17500,7.9455,29.3296,43.3859,116.7042
17600,8.5107,30.1666,199.0042,543.8734
17700,10.3689,30.6273,137.0073,344.8643
17800,21.8685,30.8351,106.7027,265.0352
17900,14.6448,32.0641,164.4064,402.8672
18000,10.3063,32.6305,46.2593,110.6953
18100,9.5304,33.0511,46.1503,119.759
18200,9.4894,33.2141,188.7756,506.2691
18300,9.941,33.9472,34.6943,91.4784
18400,10.2169,34.8514,61.9154,165.1139
18500,10.3809,35.2779,58.2224,143.2869
18600,10.3417,36.1382,66.5833,171.0114
18700,13.6875,36.7932,202.8364,564.4336
18800,21.7,37.303,186.5143,459.4127
18900,14.381,37.9534,137.2244,358.8532
19000,12.0037,38.588,80.0909,222.2149
19100,12.3863,39.3642,197.042,472.175
19200,12.8968,39.7151,76.7458,197.8134
19300,13.5113,40.473,91.5452,258.2407
19400,12.8636,41.3414,82.1789,220.1461
19500,13.3243,41.6034,239.8394,588.7661
19600,14.5964,42.1959,149.2413,384.7147
19700,13.8621,42.4558,194.156,521.1919
19800,14.4827,43.7169,285.8029,756.5926
19900,15.8619,43.9815,156.8396,429.603
20000,15.9193,44.9955,98.9683,270.3233
20100,15.6927,45.3861,338.204,911.0453
20200,16.3185,46.5452,231.1053,630.167
20300,16.4443,46.6678,138.4976,391.2433
20400,15.7746,47.4753,273.4279,659.2077
20500,17.3417,47.8193,346.7149,882.312
20600,27.2892,48.2492,285.3153,799.241
20700,87.9429,48.5708,880.874,2338.5646
20800,36.5988,49.2486,438.2401,1110.4075
20900,23.0955,50.1217,314.0252,816.8223
21000,23.8086,50.9575,262.0296,686.525
21100,20.2027,51.761,273.4338,710.951
21200,21.2633,51.8795,436.0481,1102.4286
21300,22.0331,52.1446,855.4515,2117.2018
21400,21.841,52.7884,235.1278,608.4766
21500,67.0454,53.5264,518.8113,1332.1208
21600,29.5934,54.3633,309.9327,765.6303
21700,25.1173,55.2449,254.4875,668.6329
21800,23.2188,54.903,137.5371,333.2985
21900,24.1649,55.9634,172.4471,467.3394
22000,24.4203,56.9378,104.223,272.5093
22100,24.0969,57.4901,96.8982,252.7034
22200,23.8587,57.9497,212.8222,563.6249
22300,24.7908,58.3767,266.9703,694.4404
22400,25.3434,59.2398,441.9595,1122.3436
22500,26.0335,60.277,689.3733,1675.8283
22600,27.2573,60.9118,181.105,481.7509
22700,27.9864,61.1639,560.3663,1418.4532
22800,28.1308,62.4619,556.6712,1456.4851
22900,27.6551,62.5213,263.0731,636.5689
23000,28.3173,63.6438,555.2767,1422.9664
23100,29.5618,64.0084,749.0729,1782.5833
23200,29.8634,64.5849,456.9229,1263.8433
23300,37.0099,65.7464,362.6841,1008.9469
23400,34.4744,66.1144,402.2492,993.9334
23500,34.3732,66.7501,732.3584,1938.1256
23600,32.5674,67.0787,935.4144,2322.2903
23700,31.5535,67.8735,401.9731,1049.1553
23800,29.2962,67.8926,397.1386,1022.6371
23900,29.3245,68.7445,778.8329,2000.1839
24000,28.3248,69.6232,624.3551,1505.7703
24100,32.4779,70.4987,594.9567,1556.0947
24200,31.8321,71.3365,1095.2206,2830.2097
24300,34.1044,71.0512,739.3901,2087.5268
24400,84.3809,71.7219,6395.9205,16689.7354
24500,120.7807,71.6662,1378.4874,3845.8174
24600,52.1382,72.3774,853.5349,2137.0561
24700,46.0697,72.9251,935.4471,2364.8909
24800,35.071,73.3071,169.4969,431.21
24900,33.4436,73.8601,131.0026,329.4423
25000,33.517,74.4101,429.9034,1082.3222
25100,33.7287,74.5154,328.5565,846.7562
25200,33.4765,75.7785,194.2176,489.8305
25300,34.1771,76.2053,1241.8873,3157.1481
25400,35.4488,76.3749,227.942,618.5835
25500,36.8088,75.9472,1185.8689,2942.5322
25600,38.4282,77.4362,1092.4582,2972.4133
25700,37.8379,78.146,488.9717,1216.0772
25800,35.2891,78.181,281.2083,775.9091
25900,35.6472,78.5876,476.4085,1306.3085
26000,37.2803,78.0786,501.963,1286.2313
26100,37.4112,79.2267,225.9769,635.3734
26200,37.8295,79.6401,796.9078,2022.5562
26300,39.247,79.661,668.6,1785.9545
26400,294.9036,78.8009,2802.7022,7252.0005
26500,144.4464,79.0168,790.1052,2051.1983
26600,82.0856,79.9232,413.912,1028.6224
26700,52.1016,79.8761,251.066,648.2932
26800,49.4805,80.3905,312.6643,820.567
26900,43.7818,80.294,289.415,725.1503
27000,43.2775,80.5291,440.3834,1199.6928
27100,43.7653,80.9154,229.3676,632.0293
27200,42.2942,81.6848,177.3619,456.2304
27300,43.3614,81.2482,620.1159,1497.9191
27400,42.2381,81.6591,250.6099,603.7536
27500,44.2923,82.1454,383.6041,1068.0405
27600,42.4937,82.2909,264.5531,728.2073
27700,42.2441,82.214,182.1311,462.4281
27800,41.8939,82.817,311.1563,794.6752
27900,41.2801,82.7678,224.7215,562.9029
28000,54.8859,82.8549,1473.1656,3844.7853
28100,51.6239,83.501,1298.079,3440.5318
28200,45.9728,83.1886,461.8532,1124.077
28300,42.0882,83.37,222.4478,560.3723
28400,43.8167,83.5272,367.931,957.1008
28500,42.0762,83.8127,192.2182,537.401
28600,41.6264,84.2211,256.9869,638.9795
28700,42.3428,84.4326,1269.0146,3486.9265
28800,42.8478,84.8238,298.6097,752.161
28900,40.5309,84.778,353.3092,869.3722
29000,45.0061,84.9239,1534.5516,3834.6049
29100,280.9398,84.112,1333.1167,3592.9954
29200,211.0103,83.8845,514.9537,1398.4114
29300,84.5003,84.4413,815.9478,2012.8686
29400,66.2877,84.9539,2697.3227,6660.4598
29500,61.5898,85.0369,349.1813,948.5927
29600,56.827,85.2731,381.0648,954.0009
29700,57.7184,85.1136,645.2434,1646.024
29800,54.8773,85.2326,585.9873,1475.4354
29900,52.6613,85.4699,319.5031,802.0401
30000,51.8904,85.4203,459.271,1122.5724
30100,52.6765,85.485,318.8744,790.9213
30200,50.8484,86.2172,307.7899,783.2438
30300,70.3385,85.9806,797.9397,2188.2627
30400,54.4814,86.0803,617.3099,1635.7525
30500,48.3719,86.5946,160.1391,414.0991
30600,48.2398,86.4615,374.6795,939.9722
30700,47.8751,86.7508,150.0023,373.8767
30800,48.8681,86.9471,713.3839,1789.4839
30900,49.1348,86.7211,204.8,527.1769
31000,47.7933,87.0405,497.0945,1342.9854
31100,47.2786,87.1196,121.5844,327.4471
31200,46.4911,87.4328,812.7045,1966.6898
31300,46.3741,87.49,249.7439,626.9606
31400,46.0814,87.7101,409.1171,1142.4022
31500,45.7319,87.8173,289.5733,734.547
31600,45.9925,88.0112,228.6016,585.9721
31700,45.2009,87.918,209.234,528.8651
31800,44.7787,88.0545,181.5471,473.4843
31900,45.0862,88.2148,893.607,2316.3124
32000,45.1971,88.302,275.1815,688.2169
32100,44.2985,88.5938,464.735,1124.3848
32200,44.0542,88.6837,311.0366,830.5029
32300,52.3244,88.5148,1008.892,2458.101
32400,50.4495,88.5548,209.9021,580.4365
32500,43.9267,88.6197,314.2079,776.8552
32600,43.4343,88.7172,214.4338,520.6654
32700,44.3796,88.7753,655.8913,1691.333
32800,45.3161,88.8513,897.7429,2131.9111
32900,43.2949,89.0295,493.4463,1186.8422
33000,43.1649,89.1098,401.4526,1044.811
33100,42.4387,88.926,223.7036,556.2768
33200,44.2546,88.9082,689.6608,1708.3559
33300,46.64,89.0652,1117.1685,3101.1448
33400,51.1461,88.6438,3319.8016,9429.5217
33500,56.7128,88.9863,485.2456,1336.0867
33600,44.0278,88.9354,316.829,820.0682
33700,44.5579,88.5404,312.2542,749.3177
33800,44.0681,88.8104,261.4581,634.4648
33900,44.629,88.69,461.6349,1140.8051
34000,43.0588,89.0027,234.6147,588.2985
34100,46.3458,88.6054,628.3662,1695.2562
34200,55.7449,88.3377,846.7316,2259.9363
34300,50.6257,88.6699,471.7605,1229.2375
34400,43.3868,88.5045,246.7453,670.6425
34500,41.3747,87.9696,340.6372,922.6998
34600,42.641,87.9939,1800.1142,4779.0447
34700,49.5727,87.7136,353.8056,957.5025
34800,44.0777,87.6904,1224.4329,3297.4263
34900,49.8861,87.4669,619.797,1634.7477
35000,44.7105,87.2248,788.2906,1954.7666
35100,42.0709,87.1915,304.6886,773.0155
35200,44.0239,87.6272,581.1789,1401.5725
35300,44.2873,87.1857,1866.5591,4624.5392
35400,71.245,87.0352,1157.9582,3072.2834
35500,51.0537,86.5985,563.5553,1407.5747
35600,41.0325,86.445,304.1767,786.8433
35700,40.0056,86.2276,252.8349,676.5837
35800,40.5999,85.9641,202.5075,560.0255
35900,40.7298,85.8838,550.8403,1427.4097
36000,41.3742,85.7204,360.3658,920.9862
36100,42.479,85.6161,813.7879,2101.2729
36200,52.3589,85.2978,2480.4659,6554.0118
36300,61.5074,85.3404,721.5063,1733.8696
36400,50.5326,84.9401,956.9732,2482.1696
36500,41.6979,84.6342,288.1118,711.2706
36600,40.5844,84.8247,420.449,996.1551
36700,71.7907,84.8177,1524.9652,3768.9209
36800,47.027,84.3956,360.6579,868.6838
36900,41.9633,84.2805,474.3467,1151.8212
37000,40.1923,84.0655,567.6821,1384.2397
37100,41.0936,84.2858,626.2561,1745.7888
37200,39.8534,83.6567,549.2814,1458.162
37300,52.6763,84.0249,1328.4953,3228.0783
37400,46.271,83.7485,994.1231,2644.7723
37500,41.8033,83.4919,336.2833,871.566
37600,41.1133,83.773,546.7464,1383.2805
37700,39.4334,83.6831,506.6173,1306.7298
37800,39.6137,83.6162,325.241,883.2936
37900,40.2888,83.2992,529.869,1403.5692
38000,39.7164,83.2119,249.3706,641.885
38100,41.8044,83.4834,3154.8638,7731.0897
38200,130.7425,82.9531,2218.7579,5785.7925
38300,109.6853,82.6297,1950.4027,5164.6764
38400,56.3353,82.9156,336.8162,880.5328
38500,41.686,83.0525,154.0293,405.9322
38600,41.0111,82.8912,218.7871,551.0395
38700,39.7467,83.248,157.0133,388.6245
38800,40.9235,82.8901,456.0266,1183.5804
38900,41.0149,83.2477,213.3645,500.7843
39000,40.9481,83.6758,348.9601,868.3081
39100,39.6892,83.3575,281.3963,695.2322
39200,40.1507,83.2063,226.6128,543.2873
39300,39.7374,83.6459,337.1914,834.0829
39400,41.3599,83.7797,330.2718,883.2179
39500,39.2778,83.6174,170.2736,403.2102
39600,39.0522,83.8776,314.5762,760.7443
39700,38.4852,83.9845,246.3635,621.1889
39800,39.9043,83.7316,448.4923,1162.2997
39900,40.6735,84.3027,273.2194,683.6321
40000,38.8631,84.107,628.6541,1627.2981
40100,40.3989,84.5075,245.5903,600.1926
40200,40.2492,84.9205,287.9236,756.2191
40300,38.9051,84.8979,509.4608,1367.5592
40400,39.936,84.8299,1492.8636,3596.5609
40500,41.1742,85.4327,577.7162,1646.9803
40600,40.7131,85.5448,492.866,1232.4751
40700,39.5651,85.2597,285.1602,745.6805
40800,42.9047,85.7605,1326.9423,3522.4023
40900,86.0879,85.2744,585.7902,1528.6797
41000,49.1732,85.4875,300.4233,782.1768
41100,39.3664,85.6182,291.1087,708.5472
41200,39.0793,85.9996,400.711,1096.8668
41300,38.7643,86.0572,225.5789,528.5189
41400,40.8338,86.2236,563.9026,1356.4211
41500,40.135,86.2828,528.7214,1334.8609
41600,38.8427,86.2251,450.078,1142.6762
41700,42.1731,86.4263,1852.9136,4476.3401
41800,45.3707,86.2617,269.5984,709.2436
41900,43.5222,86.3421,948.7816,2667.507
42000,46.2633,86.0937,591.0571,1652.1293
42100,39.7954,86.123,609.7144,1643.86
42200,37.3754,85.928,268.8805,744.8033
42300,37.8414,85.99,412.5161,1016.2739
42400,37.2788,85.9872,381.9231,1013.6901
42500,37.5058,85.6643,393.6632,953.4749
42600,36.8738,85.101,827.6929,2121.2146
42700,39.0979,85.664,467.5346,1323.7201
42800,37.6709,85.111,545.896,1353.2161
42900,36.7858,85.2422,373.3403,1002.3504
43000,36.541,85.1197,965.2731,2633.0228
43100,36.7554,84.8424,997.3418,2404.8041
43200,43.2486,84.6053,392.6033,955.0764
43300,38.87,84.5286,1076.897,2747.5452
43400,39.5114,83.8418,252.6656,696.7528
43500,36.6129,84.0293,420.9829,1054.3415
43600,35.5983,83.4746,474.7395,1158.8443
43700,36.6287,83.1059,746.9088,1853.2663
43800,36.8428,83.3168,471.5474,1172.1571
43900,41.0925,82.9139,1834.1436,5039.7191
44000,41.6846,82.6559,864.5003,2374.6957
44100,36.9976,82.1589,516.6735,1354.6523
44200,33.9536,81.9217,362.1141,897.1974
44300,37.2608,81.741,579.0542,1507.583
44400,108.8586,80.6753,1525.0432,4036.5148
44500,55.8232,80.8811,384.6956,973.8048
44600,46.2723,80.7881,659.3747,1799.9324
44700,36.186,80.4106,357.6216,909.8153
44800,33.9029,79.6192,147.9566,380.1134
44900,33.1139,79.4112,230.2696,643.8049
45000,32.7692,78.8787,174.1894,455.5752
45100,34.0557,78.5641,268.7316,675.9829
45200,39.3598,78.1992,505.5693,1287.3922
45300,36.0973,78.1504,208.4082,573.977
45400,32.759,77.4647,201.8649,521.659
45500,32.0782,77.5432,396.6815,1045.8493
45600,31.9092,77.1577,336.1707,867.9969
45700,31.8893,76.763,449.8238,1107.3569
45800,31.277,76.4418,573.5335,1561.1731
45900,31.904,76.2526,315.6701,784.4512
46000,30.6808,75.9691,358.3058,943.8084
46100,31.0218,75.6224,831.8456,2069.13
46200,49.4918,75.0847,493.4186,1240.4699
46300,59.4749,74.4131,565.6163,1483.7098
46400,36.8866,74.6541,266.3134,694.392
46500,34.5018,74.1739,540.8229,1318.4651
46600,30.117,73.729,145.9397,403.0804
46700,29.1903,73.5132,108.7586,262.798
46800,29.9843,73.5081,254.3232,683.2752
46900,29.4373,73.3051,395.3612,1044.8941
47000,29.816,72.8531,275.5941,735.8847
47100,30.8638,72.6217,821.5066,2243.7968
47200,31.7595,72.2083,1082.2588,2893.0429
47300,32.6313,72.125,440.2813,1067.3204
47400,30.3809,71.7158,351.7161,841.3899
47500,30.4132,71.6055,481.2285,1186.6124
47600,28.9012,71.3732,420.6873,1058.6224
47700,68.0496,70.6684,686.2483,1817.9787
47800,48.8145,70.7038,1828.4,4328.4408
47900,44.4481,70.2821,489.5984,1171.2129
48000,30.4805,70.5475,205.6501,514.4581
48100,30.161,70.1356,414.5749,1006.5105
48200,30.1051,69.769,199.255,517.2028
48300,28.0493,69.9523,261.451,719.038
48400,28.3114,69.2187,398.7304,1017.5502
48500,27.9444,69.1541,355.3111,1005.4564
48600,27.5964,69.1433,171.095,415.7226
48700,27.4737,68.9695,479.5987,1142.4921
48800,27.7156,68.7923,312.6519,848.4252
48900,29.3148,68.6656,249.7032,683.1432
49000,27.6895,68.5549,201.5069,550.9012
49100,27.7488,68.4768,324.9367,838.5419
49200,27.7616,68.3791,250.7692,617.6644
49300,28.7828,68.2454,1649.4409,3857.6992
49400,29.6231,68.1036,318.2936,785.336
49500,53.3342,67.534,1059.7623,2608.5075
49600,44.5449,67.5606,502.5883,1277.4041
49700,29.0093,67.4886,123.8713,304.7908
49800,27.2482,67.5622,209.1718,483.9594
49900,27.1683,67.1566,121.586,325.9541
50000,30.9698,67.2456,247.5854,639.6448
50100,27.571,67.2367,213.4524,568.9489
50200,26.7453,66.9861,231.3646,617.8409
50300,26.9728,66.9153,227.7517,636.1523
50400,26.4409,66.7208,313.5849,794.6902
50500,28.2316,66.8463,571.5801,1580.7779
50600,26.6826,66.5097,243.2295,629.7355
50700,26.4,66.3699,138.8429,346.9538
50800,25.8305,66.4792,151.9986,396.3232
50900,26.0089,66.4185,273.751,721.4117
51000,30.1821,66.2235,631.0302,1747.009
51100,41.5543,65.9819,196.9228,518.5186
51200,28.776,65.8754,678.1158,1874.3995
51300,27.2704,65.8287,409.9543,1040.7019
51400,26.5746,65.8284,190.226,518.6319
51500,26.3747,65.8753,378.281,1028.3701
51600,25.9681,65.7005,154.6489,410.3531
51700,34.1074,65.3921,471.254,1217.7342
51800,33.1822,65.3872,1378.6576,3917.7404
51900,30.3708,65.4176,143.6361,382.4818
52000,26.6873,65.4844,412.129,979.912
52100,26.3095,65.2158,338.1638,889.6093
52200,28.0145,65.3541,283.792,774.6618
52300,28.4626,65.215,381.3353,966.3362
52400,28.3432,65.3147,352.8131,946.6163
52500,25.8874,64.6773,166.1471,376.4086
52600,27.4728,65.192,243.9604,642.6009
52700,34.0381,64.879,992.7107,2485.1807
52800,42.0634,64.736,315.6915,870.5471
52900,27.8687,64.7224,302.4391,784.2271
53000,25.9458,64.7955,129.0698,324.8332
53100,25.1392,64.4687,189.6352,520.9213
53200,25.0489,64.506,205.2213,508.2695
53300,24.5137,64.6027,249.7482,628.3254
53400,24.6661,64.3372,152.5602,396.1614
53500,24.3538,64.5619,257.1955,690.6031
53600,24.559,64.3771,268.4152,701.2687
53700,24.0149,64.425,175.6987,456.5603
53800,24.2158,64.2088,271.1049,727.2505
53900,24.9796,64.336,737.9001,2102.8415
54000,27.6505,64.2885,723.0789,1918.8402
54100,24.8124,64.3324,269.8809,655.0116
54200,24.1679,64.2915,137.2479,372.8862
54300,33.3924,63.835,1329.7796,3306.7834
54400,46.307,63.7601,917.6911,2412.5675
54500,28.6163,63.987,297.9881,755.1641
54600,24.3604,63.8862,182.5716,454.6088
54700,23.3377,63.9684,477.6093,1299.0684
54800,22.5912,63.8516,101.2457,278.6698
54900,22.6828,63.7161,71.1153,182.0745
55000,22.6455,63.8866,126.3082,312.111
55100,22.2921,63.482,158.237,431.4288
55200,22.7313,64.0317,83.6645,227.2971
55300,22.3122,63.8573,103.123,279.2319
55400,23.1921,63.8256,769.5314,1996.2673
55500,23.2368,63.7363,176.9637,495.2444
55600,22.6911,63.8842,395.9848,984.5809
55700,21.9578,63.7679,104.5283,278.0695
55800,22.9582,63.8424,553.1698,1553.138
55900,24.2656,63.7387,304.3576,863.1239
56000,22.3236,63.8578,192.405,529.4777
56100,21.6215,63.6267,151.7761,400.4716
56200,22.495,63.6354,155.8399,398.7205
56300,23.3216,64.0041,188.4447,468.3293
56400,21.5449,63.8037,98.9052,250.5992
56500,21.192,63.776,153.8094,406.3927
56600,47.0656,63.6743,546.6289,1531.2249
56700,26.1701,63.8865,167.1073,427.9008
56800,21.3924,64.0242,60.8333,158.5117
56900,21.2857,63.9865,172.277,434.3787
57000,21.0543,63.7968,90.6655,247.7811
57100,21.0629,64.3118,134.8155,373.061
57200,20.684,64.0755,153.3065,423.3377
57300,20.9548,64.1734,178.7203,465.0366
57400,21.5973,64.3048,206.8812,519.4164
57500,20.8496,64.48,235.2723,606.8765
57600,22.3278,64.336,498.9185,1251.4304
57700,23.0229,64.8143,309.7862,813.6017
57800,20.4681,64.6395,199.6433,519.3514
57900,20.1361,64.8809,123.9599,313.6826
58000,20.5255,65.0107,450.734,1218.9454
58100,46.1489,64.6923,333.9948,857.8925
58200,24.8348,65.1126,225.6671,562.0579
58300,20.4191,65.5729,102.1524,243.5331
58400,19.8853,65.4926,83.7661,215.0897
58500,19.8736,65.5958,97.0685,259.5474
58600,19.8055,65.8459,83.2663,223.3732
58700,19.575,65.6654,144.68,392.0927
58800,19.1676,65.9616,63.1912,169.1268
58900,20.0934,66.1818,524.9715,1385.6578
59000,50.3445,65.9836,448.4928,1195.0553
59100,25.8269,66.1908,233.1126,627.3442
59200,20.38,65.998,303.9371,777.4083
59300,19.9259,66.4873,102.5233,275.9251
59400,18.8549,66.3893,117.3964,294.4307
59500,20.149,66.8237,181.0114,479.3056
59600,20.0813,66.8375,96.7298,239.3787
59700,19.8673,66.9432,100.2331,259.1364
59800,19.8698,67.0664,81.2675,196.0183
59900,19.508,67.092,176.9558,466.6201
60000,19.6449,67.398,186.3103,513.6447
60100,20.1829,67.4861,183.406,506.4068
60200,19.5443,67.282,348.7568,945.5191
60300,19.4697,67.7859,232.8041,571.1453
60400,19.6232,67.5376,129.9743,363.0014
60500,19.8079,67.5623,164.4018,431.9041
60600,22.119,67.745,423.8805,1052.177
60700,20.0546,67.6105,113.3382,300.0695
60800,18.9515,67.6596,178.7052,473.8161
60900,19.7299,67.5445,205.6967,585.9105
61000,19.5761,67.9826,387.1352,1076.4021
61100,20.848,67.7903,296.5843,799.53
61200,20.4609,67.1934,108.4852,280.6022
61300,19.2308,67.7354,145.379,346.2434
61400,18.9866,67.5419,108.6651,274.6869
61500,18.9026,67.2679,241.5768,679.674
61600,19.6419,67.1322,200.017,546.5243
