env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-23.2,0.12,0.0,100,0.0,0.165
100,-1128.9,0.08,0.0,100,560.3934,0.1784
200,-1015.2001,0.19,0.0,100,639.0697,0.1565
300,-25.8,0.08,0.0,100,680.0181,0.1471
400,-942.6,0.11,0.0,100,586.2273,0.1706
500,-844.0,0.15,0.0,100,633.5146,0.1579
600,-16.1,0.11,0.0,100,690.724,0.1448
700,-1129.4001,0.08,0.0,100,592.7926,0.1687
800,-825.7,0.18,0.0,100,612.1016,0.1634
900,-22.0,0.1,0.0,100,672.0984,0.1488
1000,-1011.8,0.12,0.0,100,7.2238,13.8431
1100,-559.6,0.12,0.0,100,51.4037,1.9454
1200,-31.1,0.11,0.0,100,51.5202,1.941
1300,-1102.8,0.11,0.0,100,51.7373,1.9328
1400,-559.6,0.1,0.0,100,50.8077,1.9682
1500,-22.5,0.15,0.0,100,52.1396,1.9179
1600,-975.1001,0.14,0.0,100,50.5591,1.9779
1700,-801.9,0.18,0.0,100,50.1205,1.9952
1800,-29.2,0.12,0.0,100,52.0822,1.92
1900,-1037.1001,0.16,0.0,100,50.4118,1.9837
2000,-845.2,0.12,0.0,100,51.2896,1.9497
2100,-20.2,0.12,0.0,100,51.3302,1.9482
2200,-1084.3,0.06,0.0,100,51.0323,1.9595
2300,-789.5,0.11,0.0,100,51.5159,1.9412
2400,-22.9,0.09,0.0,100,51.7916,1.9308
2500,-1028.1001,0.14,0.0,100,50.5022,1.9801
2600,-935.8,0.1,0.0,100,51.8787,1.9276
2700,-18.8,0.18,0.0,100,52.2912,1.9124
2800,-994.4001,0.17,0.0,100,50.6202,1.9755
2900,-646.9,0.09,0.0,100,50.2603,1.9896
3000,-19.8,0.18,0.0,100,51.5017,1.9417
3100,-1070.9,0.15,0.0,100,50.8353,1.9671
3200,-903.6,0.12,0.0,100,50.6848,1.973
3300,-20.7,0.17,0.0,100,51.1233,1.9561
3400,-1072.8,0.1,0.0,100,44.6391,2.2402
3500,-889.1001,0.11,0.0,100,51.219,1.9524
3600,-22.6,0.16,0.0,100,50.5314,1.979
3700,-1139.3,0.09,0.0,100,50.3608,1.9857
3800,-676.3,0.1,0.0,100,51.4116,1.9451
3900,-20.4,0.14,0.0,100,51.1797,1.9539
4000,-948.0,0.08,0.0,100,47.9353,2.0861
4100,-933.4001,0.11,0.0,100,51.5207,1.941
4200,-16.9,0.09,0.0,100,52.0607,1.9208
4300,-973.3,0.18,0.0,100,50.8059,1.9683
4400,-507.6,0.06,0.0,100,51.8839,1.9274
4500,-21.6,0.16,0.0,100,51.496,1.9419
4600,-1047.0,0.18,0.0,100,51.6615,1.9357
4700,-816.9,0.11,0.0,100,50.7372,1.9709
4800,-19.4,0.14,0.0,100,49.7267,2.011
4900,-923.5001,0.1,0.0,100,51.2651,1.9506
5000,-720.0,0.11,0.0,100,49.1997,2.0325
5100,-23.3,0.13,0.0,100,51.5124,1.9413
5200,-936.1001,0.13,0.0,100,49.7121,2.0116
5300,-652.3,0.1,0.0,100,49.7258,2.011
5400,-24.6,0.16,0.0,100,50.8467,1.9667
5500,-1155.7,0.14,0.0,100,51.6637,1.9356
5600,-925.1,0.15,0.0,100,50.0896,1.9964
5700,-24.2,0.12,0.0,100,51.2679,1.9505
5800,-860.5,0.18,0.0,100,51.6758,1.9351
5900,-864.6,0.04,0.0,100,50.3964,1.9843
6000,-23.7,0.07,0.0,100,50.6968,1.9725
6100,-1062.0,0.12,0.0,100,51.0473,1.959
6200,-902.1,0.11,0.0,100,50.9154,1.964
6300,-25.4,0.14,0.0,100,49.5094,2.0198
6400,-1049.4,0.12,0.0,100,50.454,1.982
6500,-685.3,0.15,0.0,100,50.1172,1.9953
6600,-22.0,0.2,0.0,100,51.4179,1.9448
6700,-977.6,0.06,0.0,100,50.437,1.9827
6800,-756.4,0.08,0.0,100,50.7034,1.9723
6900,-17.6,0.16,0.0,100,51.6865,1.9347
7000,-1011.9001,0.13,0.0,100,50.7906,1.9689
7100,-708.6,0.13,0.0,100,50.016,1.9994
7200,-26.1,0.11,0.0,100,51.7363,1.9329
7300,-869.3,0.08,0.0,100,50.1505,1.994
7400,-665.8,0.12,0.0,100,50.2639,1.9895
7500,-22.1,0.11,0.0,100,48.0084,2.083
7600,-1051.1,0.15,0.0,100,50.5569,1.978
7700,-744.5,0.14,0.0,100,51.484,1.9424
7800,-22.8,0.08,0.0,100,49.9378,2.0025
7900,-951.4001,0.11,0.0,100,50.5446,1.9785
8000,-627.8,0.12,0.0,100,50.5749,1.9773
8100,-25.0,0.1,0.0,100,51.5879,1.9384
8200,-1035.4001,0.09,0.0,100,50.344,1.9863
8300,-700.5,0.13,0.0,100,50.41,1.9837
8400,-26.3,0.13,0.0,100,52.0723,1.9204
8500,-1061.8,0.07,0.0,100,50.7898,1.9689
8600,-756.2,0.08,0.0,100,49.9667,2.0013
8700,-23.2,0.12,0.0,100,52.3228,1.9112
8800,-931.3,0.09,0.0,100,52.2592,1.9135
8900,-911.7,0.13,0.0,100,50.6104,1.9759
9000,-27.1,0.11,0.0,100,48.7926,2.0495
9100,-1089.7001,0.14,0.0,100,50.7616,1.97
9200,-584.5,0.14,0.0,100,50.743,1.9707
9300,-28.7,0.07,0.0,100,52.1352,1.9181
9400,-1062.0,0.09,0.0,100,49.4816,2.021
9500,-734.5,0.1,0.0,100,50.5436,1.9785
9600,-23.0,0.1,0.0,100,51.3965,1.9457
9700,-956.8,0.13,0.0,100,50.9041,1.9645
9800,-612.9,0.1,0.0,100,51.3522,1.9473
9900,-31.9,0.09,0.0,100,50.8935,1.9649
10000,-854.9,0.15,0.0,100,0.0,0.6733
10100,-528.4,0.11,0.0,100,50.4783,1.9811
10200,-19.3,0.13,0.0,100,51.6059,1.9378
10300,-943.7,0.2,0.0,100,50.8471,1.9667
10400,-579.9,0.13,0.0,100,52.0082,1.9228
10500,-20.0,0.1,0.0,100,52.078,1.9202
10600,-1070.9,0.12,0.0,100,50.9946,1.961
10700,-895.2,0.05,0.0,100,51.7783,1.9313
10800,-20.2,0.12,0.0,100,50.1235,1.9951
10900,-1056.9,0.06,0.0,100,50.2983,1.9881
11000,-536.6,0.18,0.0,100,50.0957,1.9962
11100,-26.9,0.09,0.0,100,51.622,1.9372
11200,-1050.6001,0.13,0.0,100,50.1857,1.9926
11300,-653.1,0.06,0.0,100,50.4414,1.9825
11400,-20.5,0.15,0.0,100,52.2695,1.9132
11500,-950.4,0.07,0.0,100,50.3855,1.9847
11600,-558.8,0.08,0.0,100,50.2096,1.9917
11700,-21.2,0.12,0.0,100,52.1326,1.9182
11800,-1093.8,0.11,0.0,100,50.3764,1.9851
11900,-648.4,0.11,0.0,100,51.6205,1.9372
12000,-21.4,0.14,0.0,100,51.0564,1.9586
12100,-991.0001,0.12,0.0,100,50.2592,1.9897
12200,-730.6,0.09,0.0,100,51.6729,1.9353
12300,-23.0,0.1,0.0,100,49.7697,2.0093
12400,-977.1,0.13,0.0,100,51.0471,1.959
12500,-801.1,0.09,0.0,100,51.2898,1.9497
12600,-20.1,0.11,0.0,100,50.9273,1.9636
12700,-831.9,0.12,0.0,100,50.7825,1.9692
12800,-719.3,0.1,0.0,100,50.7097,1.972
12900,-19.9,0.19,0.0,100,51.0517,1.9588
13000,-996.4001,0.1,0.0,100,50.0839,1.9967
13100,-676.7,0.1,0.0,100,49.442,2.0226
13200,-29.1,0.11,0.0,100,51.0582,1.9586
13300,-951.0001,0.07,0.0,100,50.1103,1.9956
13400,-739.3,0.17,0.0,100,49.9069,2.0037
13500,-26.8,0.08,0.0,100,51.74,1.9327
13600,-870.8,0.12,0.0,100,50.9408,1.9631
13700,-929.2999,0.17,0.0,100,51.0088,1.9604
13800,-18.3,0.13,0.0,100,49.81,2.0076
13900,-1133.4,0.13,0.0,100,50.6212,1.9755
14000,-700.4,0.1,0.0,100,50.6188,1.9756
14100,-16.4,0.14,0.0,100,51.7873,1.931
14200,-934.0001,0.09,0.0,100,50.2858,1.9886
14300,-717.5,0.18,0.0,100,49.946,2.0022
14400,-26.2,0.12,0.0,100,50.3281,1.987
14500,-914.3,0.09,0.0,100,50.3982,1.9842
14600,-556.3,0.08,0.0,100,48.7575,2.051
14700,-24.4,0.04,0.0,100,51.0536,1.9587
14800,-901.6001,0.09,0.0,100,51.3683,1.9467
14900,-412.0,0.11,0.0,100,50.1522,1.9939
15000,-18.4,0.14,0.0,100,51.1937,1.9534
15100,-708.8,0.06,0.0,100,51.549,1.9399
15200,-576.3,0.11,0.0,100,50.7859,1.9691
15300,-19.3,0.13,0.0,100,51.5558,1.9396
15400,-933.8,0.14,0.0,100,49.8084,2.0077
15500,-671.6,0.09,0.0,100,50.0931,1.9963
15600,-23.7,0.17,0.0,100,50.6393,1.9748
15700,-880.1,0.08,0.0,100,50.2143,1.9915
15800,-607.5,0.12,0.0,100,50.003,1.9999
15900,-15.6,0.16,0.0,100,49.8591,2.0057
16000,-686.4,0.12,0.0,100,51.0101,1.9604
16100,-549.2,0.05,0.0,100,49.3387,2.0268
16200,-24.1,0.11,0.0,100,51.7426,1.9326
16300,-1016.5001,0.1,0.0,100,50.7848,1.9691
16400,-617.7,0.1,0.0,100,50.0889,1.9965
16500,-25.9,0.09,0.0,100,50.3712,1.9853
16600,-924.5,0.09,0.0,100,51.2195,1.9524
16700,-418.9,0.07,0.0,100,50.7777,1.9694
16800,-28.3,0.13,0.0,100,50.7843,1.9691
16900,-975.3,0.08,0.0,100,49.6266,2.0151
17000,-531.1,0.11,0.0,100,51.7362,1.9329
17100,-22.7,0.17,0.0,100,51.3851,1.9461
17200,-855.7001,0.11,0.0,100,51.5799,1.9387
17300,-504.2,0.09,0.0,100,50.3993,1.9842
17400,-22.4,0.14,0.0,100,51.9878,1.9235
17500,-773.4,0.13,0.0,100,51.1276,1.9559
17600,-615.8,0.07,0.0,100,50.9397,1.9631
17700,-19.5,0.05,0.0,100,51.6481,1.9362
17800,-900.5001,0.05,0.0,100,51.4287,1.9444
17900,-752.1,0.15,0.0,100,50.3094,1.9877
18000,-26.0,0.1,0.0,100,51.8195,1.9298
18100,-932.8,0.11,0.0,100,48.0932,2.0793
18200,-894.5,0.12,0.0,100,50.4322,1.9829
18300,-24.9,0.09,0.0,100,51.5687,1.9392
18400,-1007.2001,0.16,0.0,100,49.7219,2.0112
18500,-640.6,0.1,0.0,100,50.4583,1.9818
18600,-20.6,0.06,0.0,100,50.9083,1.9643
18700,-963.5,0.07,0.0,100,50.3312,1.9868
18800,-608.3,0.1,0.0,100,50.9677,1.962
18900,-21.5,0.15,0.0,100,50.5826,1.977
19000,-889.7001,0.12,0.0,100,50.2782,1.9889
19100,-470.6,0.08,0.0,100,49.9424,2.0023
19200,-26.1,0.11,0.0,100,44.1225,2.2664
19300,-1021.5001,0.08,0.0,100,50.8513,1.9665
19400,-797.4,0.12,0.0,100,51.0386,1.9593
19500,-24.4,0.04,0.0,100,50.6808,1.9731
19600,-1013.6,0.1,0.0,100,51.0148,1.9602
19700,-766.3,0.09,0.0,100,50.0262,1.999
19800,-20.9,0.09,0.0,100,50.58,1.9771
19900,-892.3,0.11,0.0,100,49.8985,2.0041
20000,-467.1,0.1,0.0,100,0.0,0.6882
20100,-22.9,0.09,0.0,100,51.3556,1.9472
20200,-907.0,0.15,0.0,100,50.0299,1.9988
20300,-552.8,0.1,0.0,100,51.0924,1.9572
20400,-21.2,0.12,0.0,100,51.0295,1.9597
20500,-1001.8001,0.1,0.0,100,40.0984,2.4939
20600,-801.0,0.09,0.0,100,50.0544,1.9978
20700,-24.3,0.13,0.0,100,51.4135,1.945
20800,-992.9,0.16,0.0,100,50.9053,1.9644
20900,-544.3,0.08,0.0,100,50.4155,1.9835
21000,-18.4,0.14,0.0,100,52.0758,1.9203
21100,-893.0001,0.12,0.0,100,50.6513,1.9743
21200,-725.1,0.04,0.0,100,50.9654,1.9621
21300,-20.6,0.06,0.0,100,51.1953,1.9533
21400,-880.7001,0.1,0.0,100,51.1047,1.9568
21500,-795.5,0.18,0.0,100,50.0023,1.9999
21600,-28.9,0.09,0.0,100,51.2727,1.9504
21700,-897.6,0.13,0.0,100,48.8946,2.0452
21800,-608.3,0.1,0.0,100,51.0144,1.9602
21900,-16.4,0.14,0.0,100,50.8414,1.9669
22000,-837.1,0.09,0.0,100,49.7528,2.0099
22100,-577.1,0.05,0.0,100,49.5673,2.0175
22200,-19.4,0.14,0.0,100,51.4552,1.9434
22300,-1040.1001,0.19,0.0,100,51.165,1.9545
22400,-683.0,0.11,0.0,100,50.3303,1.9869
22500,-21.8,0.08,0.0,100,50.8124,1.968
22600,-846.5,0.12,0.0,100,50.3718,1.9852
22700,-719.1,0.09,0.0,100,51.8693,1.9279
22800,-21.7,0.07,0.0,100,49.4556,2.022
22900,-900.2,0.14,0.0,100,49.8066,2.0078
23000,-368.8,0.11,0.0,100,50.3786,1.985
23100,-21.3,0.13,0.0,100,50.949,1.9627
23200,-935.4001,0.09,0.0,100,50.9475,1.9628
23300,-583.1,0.11,0.0,100,50.851,1.9665
23400,-20.1,0.11,0.0,100,51.7728,1.9315
23500,-910.8,0.13,0.0,100,50.7559,1.9702
23600,-711.1,0.09,0.0,100,49.645,2.0143
23700,-22.4,0.14,0.0,100,51.3105,1.9489
23800,-1066.7001,0.09,0.0,100,51.6561,1.9359
23900,-749.4,0.11,0.0,100,50.5007,1.9802
24000,-15.7,0.17,0.0,100,50.4562,1.9819
24100,-851.3,0.09,0.0,100,50.558,1.9779
24200,-591.9,0.07,0.0,100,50.65,1.9743
24300,-25.1,0.11,0.0,100,50.0567,1.9977
24400,-825.4,0.09,0.0,100,50.9345,1.9633
24500,-593.7,0.12,0.0,100,50.2332,1.9907
24600,-22.4,0.14,0.0,100,51.8595,1.9283
24700,-972.8,0.12,0.0,100,50.7347,1.971
24800,-636.4,0.08,0.0,100,50.8067,1.9682
24900,-24.1,0.11,0.0,100,51.3768,1.9464
25000,-639.6,0.09,0.0,100,51.4656,1.943
25100,-701.8,0.11,0.0,100,48.9623,2.0424
25200,-25.1,0.11,0.0,100,51.2758,1.9502
25300,-952.2,0.15,0.0,100,49.8302,2.0068
25400,-449.2,0.04,0.0,100,50.085,1.9966
25500,-21.4,0.14,0.0,100,52.3076,1.9118
25600,-701.0,0.1,0.0,100,50.7786,1.9693
25700,-514.1,0.1,0.0,100,50.5278,1.9791
25800,-20.3,0.13,0.0,100,50.0451,1.9982
25900,-977.3,0.16,0.0,100,50.0876,1.9965
26000,-507.4,0.09,0.0,100,50.1367,1.9945
26100,-17.5,0.15,0.0,100,51.7924,1.9308
26200,-743.7,0.1,0.0,100,50.3431,1.9864
26300,-650.6,0.09,0.0,100,50.3683,1.9854
26400,-27.8,0.08,0.0,100,51.9565,1.9247
26500,-931.4,0.1,0.0,100,50.1502,1.994
26600,-628.1,0.08,0.0,100,49.602,2.0161
26700,-25.6,0.06,0.0,100,50.4603,1.9818
26800,-848.7001,0.14,0.0,100,50.0697,1.9972
26900,-691.7,0.13,0.0,100,51.9986,1.9231
27000,-22.4,0.04,0.0,100,52.3262,1.9111
27100,-627.4,0.07,0.0,100,51.0196,1.96
27200,-935.3,0.13,0.0,100,51.3067,1.9491
27300,-22.0,0.1,0.0,100,50.6971,1.9725
27400,-913.3,0.11,0.0,100,50.8821,1.9653
27500,-625.1,0.12,0.0,100,51.4098,1.9452
27600,-23.1,0.11,0.0,100,51.1787,1.9539
27700,-970.5,0.07,0.0,100,51.1912,1.9535
27800,-777.6,0.07,0.0,100,50.3229,1.9872
27900,-18.4,0.04,0.0,100,50.6622,1.9739
28000,-874.4,0.09,0.0,100,51.5805,1.9387
28100,-728.7,0.11,0.0,100,49.751,2.01
28200,-25.5,0.05,0.0,100,51.2623,1.9508
28300,-626.3,0.12,0.0,100,50.3286,1.9869
28400,-713.3,0.1,0.0,100,50.8517,1.9665
28500,-28.9,0.09,0.0,100,50.9837,1.9614
28600,-922.1001,0.15,0.0,100,50.5768,1.9772
28700,-708.3,0.06,0.0,100,51.4497,1.9437
28800,-24.4,0.14,0.0,100,51.0277,1.9597
28900,-607.8,0.12,0.0,100,49.1716,2.0337
29000,-836.2,0.07,0.0,100,51.8829,1.9274
29100,-20.5,0.15,0.0,100,51.0896,1.9573
29200,-859.8,0.11,0.0,100,50.2606,1.9896
29300,-740.6,0.11,0.0,100,49.6251,2.0151
29400,-31.7,0.07,0.0,100,49.8721,2.0051
29500,-790.9001,0.07,0.0,100,50.6405,1.9747
29600,-594.9,0.12,0.0,100,49.6714,2.0132
29700,-23.2,0.12,0.0,100,49.8173,2.0073
29800,-777.0,0.12,0.0,100,50.602,1.9762
29900,-810.9,0.13,0.0,100,49.9306,2.0028
30000,-21.4,0.14,0.0,100,0.0,0.6514
30100,-784.8,0.13,0.0,100,51.5395,1.9403
30200,-759.4,0.13,0.0,100,50.963,1.9622
30300,-24.1,0.11,0.0,100,51.1431,1.9553
30400,-733.8,0.07,0.0,100,50.2348,1.9907
30500,-628.9,0.05,0.0,100,50.4417,1.9825
30600,-28.7,0.07,0.0,100,50.9514,1.9627
30700,-887.1,0.08,0.0,100,51.3249,1.9484
30800,-429.1,0.09,0.0,100,50.3619,1.9856
30900,-29.4,0.14,0.0,100,51.0114,1.9604
31000,-900.9,0.11,0.0,100,51.1924,1.9534
31100,-643.8,0.09,0.0,100,49.0511,2.0387
31200,-22.1,0.11,0.0,100,51.7529,1.9323
31300,-779.0001,0.13,0.0,100,50.2907,1.9884
31400,-552.7,0.1,0.0,100,50.0122,1.9995
31500,-24.7,0.07,0.0,100,51.6837,1.9349
31600,-668.8,0.1,0.0,100,50.6958,1.9726
31700,-639.2,0.05,0.0,100,50.6077,1.976
31800,-28.0,0.1,0.0,100,49.6614,2.0136
31900,-642.1,0.08,0.0,100,51.6299,1.9369
32000,-630.1,0.1,0.0,100,50.4406,1.9825
32100,-28.0,0.2,0.0,100,50.7935,1.9688
32200,-1040.1001,0.09,0.0,100,50.0354,1.9986
32300,-700.3,0.1,0.0,100,51.3163,1.9487
32400,-18.4,0.14,0.0,100,51.2405,1.9516
32500,-1014.1,0.06,0.0,100,50.0012,2.0
32600,-718.0,0.13,0.0,100,49.5013,2.0202
32700,-18.1,0.11,0.0,100,52.0774,1.9202
32800,-780.0,0.11,0.0,100,50.5371,1.9787
32900,-528.7,0.15,0.0,100,50.3696,1.9853
33000,-15.0,0.1,0.0,100,51.5089,1.9414
33100,-833.1,0.06,0.0,100,50.8064,1.9683
33200,-585.1,0.15,0.0,100,51.5484,1.9399
33300,-25.4,0.14,0.0,100,51.2919,1.9496
33400,-800.7001,0.1,0.0,100,49.5082,2.0199
33500,-488.9,0.13,0.0,100,50.0748,1.997
33600,-20.8,0.18,0.0,100,50.4942,1.9804
33700,-963.7,0.1,0.0,100,51.0945,1.9572
33800,-385.0,0.05,0.0,100,50.1749,1.993
33900,-20.1,0.11,0.0,100,50.5073,1.9799
34000,-1003.9,0.04,0.0,100,50.4393,1.9826
34100,-539.8,0.1,0.0,100,49.9289,2.0028
34200,-21.4,0.14,0.0,100,52.5978,1.9012
34300,-878.7001,0.09,0.0,100,50.5723,1.9774
34400,-821.0,0.09,0.0,100,49.7843,2.0087
34500,-18.8,0.18,0.0,100,51.8923,1.9271
34600,-770.7,0.1,0.0,100,50.3241,1.9871
34700,-577.4,0.13,0.0,100,51.265,1.9507
34800,-27.6,0.06,0.0,100,51.2548,1.951
34900,-706.5,0.11,0.0,100,49.8797,2.0048
35000,-803.1,0.09,0.0,100,51.5203,1.941
35100,-20.5,0.15,0.0,100,51.2275,1.9521
35200,-951.5001,0.1,0.0,100,51.2595,1.9509
35300,-594.7,0.13,0.0,100,50.0558,1.9978
35400,-20.3,0.13,0.0,100,50.6933,1.9727
35500,-874.3,0.1,0.0,100,49.9001,2.004
35600,-509.0,0.09,0.0,100,48.5265,2.0607
35700,-24.2,0.12,0.0,100,51.3018,1.9493
35800,-703.7,0.14,0.0,100,50.0182,1.9993
35900,-574.0,0.09,0.0,100,50.254,1.9899
36000,-22.9,0.09,0.0,100,50.9064,1.9644
36100,-865.4,0.16,0.0,100,51.0162,1.9602
36200,-401.5,0.16,0.0,100,48.7008,2.0534
36300,-21.1,0.11,0.0,100,51.6157,1.9374
36400,-891.2,0.07,0.0,100,49.9347,2.0026
36500,-585.8,0.04,0.0,100,50.5645,1.9777
36600,-19.6,0.16,0.0,100,50.9445,1.9629
36700,-830.6,0.13,0.0,100,51.3779,1.9464
36800,-387.9,0.05,0.0,100,50.4589,1.9818
36900,-27.7,0.07,0.0,100,51.9234,1.9259
37000,-844.6,0.09,0.0,100,50.9905,1.9612
37100,-457.6,0.15,0.0,100,49.4493,2.0223
37200,-17.2,0.12,0.0,100,47.6834,2.0972
37300,-561.7,0.11,0.0,100,50.6289,1.9752
37400,-495.0,0.11,0.0,100,51.5828,1.9386
37500,-18.2,0.12,0.0,100,50.1357,1.9946
37600,-676.0,0.03,0.0,100,50.0551,1.9978
37700,-453.1,0.06,0.0,100,50.2517,1.99
37800,-24.3,0.13,0.0,100,50.9231,1.9638
37900,-824.9,0.13,0.0,100,49.0372,2.0393
38000,-605.0,0.08,0.0,100,48.3171,2.0697
38100,-19.1,0.11,0.0,100,51.2266,1.9521
38200,-777.8,0.07,0.0,100,49.9757,2.001
38300,-527.0,0.08,0.0,100,49.9954,2.0002
38400,-25.7,0.17,0.0,100,50.3295,1.9869
38500,-748.3,0.09,0.0,100,50.1998,1.992
38600,-716.9,0.14,0.0,100,49.3888,2.0248
38700,-25.8,0.08,0.0,100,50.2742,1.9891
38800,-778.1001,0.14,0.0,100,50.3672,1.9854
38900,-445.7,0.06,0.0,100,50.1111,1.9956
39000,-18.2,0.12,0.0,100,51.6133,1.9375
39100,-694.0,0.05,0.0,100,49.1918,2.0329
39200,-790.6,0.1,0.0,100,50.9445,1.9629
39300,-23.1,0.11,0.0,100,51.4892,1.9422
39400,-806.0001,0.16,0.0,100,49.2024,2.0324
39500,-368.9,0.06,0.0,100,50.1382,1.9945
39600,-27.9,0.19,0.0,100,50.8809,1.9654
39700,-820.8,0.13,0.0,100,50.7989,1.9685
39800,-478.8,0.09,0.0,100,49.2924,2.0287
39900,-23.6,0.06,0.0,100,49.9848,2.0006
40000,-620.2,0.08,0.0,100,0.0,0.6809
40100,-545.0,0.17,0.0,100,48.5937,2.0579
40200,-17.0,0.2,0.0,100,50.1113,1.9956
40300,-848.9,0.04,0.0,100,51.2811,1.95
40400,-481.8,0.12,0.0,100,50.416,1.9835
40500,-17.9,0.09,0.0,100,50.7608,1.97
40600,-586.2001,0.06,0.0,100,50.2557,1.9898
40700,-519.1,0.17,0.0,100,50.2276,1.9909
40800,-26.5,0.15,0.0,100,50.6479,1.9744
40900,-555.7,0.07,0.0,100,50.2517,1.99
41000,-482.8,0.11,0.0,100,50.0965,1.9962
41100,-17.7,0.17,0.0,100,50.8968,1.9648
41200,-675.2001,0.09,0.0,100,49.8183,2.0073
41300,-353.9,0.09,0.0,100,50.1074,1.9957
41400,-18.9,0.09,0.0,100,51.742,1.9327
41500,-748.4,0.09,0.0,100,50.1283,1.9949
41600,-497.0,0.12,0.0,100,48.9254,2.0439
41700,-18.7,0.17,0.0,100,51.5045,1.9416
41800,-697.7,0.13,0.0,100,50.5702,1.9775
41900,-671.3,0.1,0.0,100,49.9566,2.0017
42000,-34.2,0.12,0.0,100,51.1647,1.9545
42100,-764.1,0.06,0.0,100,50.4696,1.9814
42200,-700.4,0.13,0.0,100,49.6533,2.014
42300,-15.4,0.14,0.0,100,48.4319,2.0648
42400,-736.3,0.09,0.0,100,49.919,2.0032
42500,-617.9,0.08,0.0,100,50.4093,1.9838
42600,-15.2,0.12,0.0,100,51.3214,1.9485
42700,-735.7,0.12,0.0,100,50.5185,1.9795
42800,-526.6,0.16,0.0,100,50.5606,1.9778
42900,-19.5,0.15,0.0,100,50.4532,1.982
43000,-398.1,0.11,0.0,100,51.0591,1.9585
43100,-514.9,0.09,0.0,100,49.1893,2.033
43200,-25.2,0.12,0.0,100,51.3804,1.9463
43300,-781.7001,0.13,0.0,100,49.9229,2.0031
43400,-439.6,0.12,0.0,100,50.2237,1.9911
43500,-29.0,0.1,0.0,100,50.8262,1.9675
43600,-727.9,0.11,0.0,100,51.2857,1.9499
43700,-560.3,0.12,0.0,100,50.8649,1.966
43800,-24.7,0.17,0.0,100,49.7569,2.0098
43900,-589.7,0.11,0.0,100,50.0212,1.9992
44000,-718.4,0.1,0.0,100,50.2169,1.9914
44100,-24.1,0.11,0.0,100,49.9018,2.0039
44200,-643.2001,0.11,0.0,100,49.7392,2.0105
44300,-619.4,0.12,0.0,100,51.0086,1.9605
44400,-20.7,0.17,0.0,100,51.845,1.9288
44500,-643.9,0.06,0.0,100,51.4357,1.9442
44600,-611.2,0.11,0.0,100,49.3502,2.0263
44700,-24.4,0.14,0.0,100,52.3741,1.9093
44800,-734.1,0.07,0.0,100,51.1519,1.955
44900,-334.9,0.09,0.0,100,50.6683,1.9736
45000,-23.8,0.18,0.0,100,51.7861,1.931
45100,-693.6,0.1,0.0,100,50.5232,1.9793
45200,-384.9,0.07,0.0,100,50.8314,1.9673
45300,-26.4,0.14,0.0,100,51.9779,1.9239
45400,-648.4,0.11,0.0,100,49.3594,2.026
45500,-586.1,0.11,0.0,100,49.9703,2.0012
45600,-24.4,0.14,0.0,100,51.2153,1.9525
45700,-671.3,0.11,0.0,100,50.1216,1.9951
45800,-441.4,0.09,0.0,100,50.4006,1.9841
45900,-19.4,0.24,0.0,100,51.6096,1.9376
46000,-843.7001,0.1,0.0,100,50.1821,1.9927
46100,-589.1,0.11,0.0,100,48.002,2.0832
46200,-21.3,0.23,0.0,100,51.491,1.9421
46300,-837.5,0.12,0.0,100,50.3523,1.986
46400,-597.3,0.09,0.0,100,50.6757,1.9733
46500,-12.9,0.19,0.0,100,51.997,1.9232
46600,-797.0001,0.13,0.0,100,50.1523,1.9939
46700,-384.3,0.07,0.0,100,50.3882,1.9846
46800,-20.3,0.23,0.0,100,51.8828,1.9274
46900,-685.5,0.11,0.0,100,49.3894,2.0247
47000,-609.4,0.12,0.0,100,50.2957,1.9882
47100,-18.3,0.23,0.0,100,50.3338,1.9867
47200,-653.8,0.12,0.0,100,50.3623,1.9856
47300,-579.8,0.1,0.0,100,49.9324,2.0027
47400,-20.3,0.13,0.0,100,51.8905,1.9271
47500,-711.1,0.05,0.0,100,50.9136,1.9641
47600,-598.3,0.05,0.0,100,48.1074,2.0787
47700,-19.5,0.25,0.0,100,50.9723,1.9619
47800,-914.7001,0.1,0.0,100,50.8321,1.9673
47900,-757.9,0.15,0.0,100,50.7778,1.9694
48000,-17.8,0.18,0.0,100,51.5063,1.9415
48100,-569.0,0.13,0.0,100,50.25,1.9901
48200,-357.8,0.05,0.0,100,50.0942,1.9962
48300,-23.5,0.15,0.0,100,50.742,1.9708
48400,-792.4,0.08,0.0,100,48.878,2.0459
48500,-385.4,0.11,0.0,100,50.3096,1.9877
48600,-28.3,0.13,0.0,100,51.6954,1.9344
48700,-877.8,0.11,0.0,100,50.274,1.9891
48800,-867.6,0.12,0.0,100,50.8737,1.9657
48900,-16.1,0.21,0.0,100,52.1264,1.9184
49000,-896.6001,0.11,0.0,100,49.978,2.0009
49100,-300.9,0.08,0.0,100,47.5931,2.1011
49200,-22.7,0.17,0.0,100,51.912,1.9263
49300,-574.8,0.12,0.0,100,50.2804,1.9888
49400,-200.9,0.11,0.0,100,50.9584,1.9624
49500,-30.9,0.19,0.0,100,52.2158,1.9151
49600,-728.9,0.15,0.0,100,50.601,1.9763
49700,-437.2,0.14,0.0,100,51.2832,1.95
49800,-21.8,0.18,0.0,100,50.9483,1.9628
