env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,10.937,-6.6324,0.175,0.136
1100,0.1369,-9.5025,0.763,0.6209
1200,0.5236,-10.0814,0.6393,0.5173
1300,0.0882,-9.4098,0.1042,0.0762
1400,0.1935,-10.0024,0.4489,0.3496
1500,0.9717,-10.1894,1.0149,0.7944
1600,0.1122,-9.6153,0.1242,0.0866
1700,0.3814,-10.0656,0.2199,0.165
1800,0.4597,-10.2832,0.52,0.4303
1900,0.2037,-10.2655,0.2105,0.172
2000,0.351,-10.5725,0.4359,0.3102
2100,0.335,-10.772,0.5689,0.4197
2200,0.1351,-10.433,0.1441,0.0974
2300,0.1994,-10.7212,0.3228,0.2448
2400,0.1863,-11.3202,0.3117,0.2256
2500,0.0854,-10.6152,0.5677,0.4316
2600,0.1385,-11.2233,0.1959,0.153
2700,0.1105,-11.6198,0.1743,0.1433
2800,0.0633,-11.2543,0.1186,0.0874
2900,0.0721,-11.7065,0.3154,0.2341
3000,0.1589,-11.7091,0.1673,0.1268
3100,0.0907,-11.5379,0.1871,0.1465
3200,0.207,-11.5898,0.5292,0.3962
3300,0.1686,-11.9246,0.7278,0.5896
3400,0.0848,-11.7323,0.3701,0.2951
3500,0.1322,-12.0087,0.5246,0.4142
3600,0.3104,-12.5544,1.2703,1.0529
3700,0.0874,-12.4536,0.389,0.2977
3800,0.1278,-12.5294,0.8025,0.6044
3900,0.1403,-12.5742,0.5812,0.4396
4000,0.0927,-12.7728,0.2836,0.2229
4100,0.3388,-13.0032,1.2493,0.9106
4200,0.3143,-13.3132,0.878,0.7097
4300,0.1222,-12.9432,0.2464,0.1973
4400,0.1302,-13.6168,0.523,0.4256
4500,0.2713,-13.5028,0.5705,0.4596
4600,0.119,-12.9631,0.2627,0.1944
4700,0.1398,-13.7231,0.4617,0.3737
4800,0.1761,-13.4629,0.3598,0.2961
4900,0.0966,-13.6204,0.5081,0.4363
5000,0.1496,-13.654,0.4626,0.3641
5100,0.158,-13.8108,1.2145,0.9632
5200,0.1094,-13.6961,0.492,0.3724
5300,0.1796,-13.6523,1.0571,0.8536
5400,0.4044,-13.9002,1.9247,1.6604
5500,0.1341,-13.6874,0.5634,0.4774
5600,0.1403,-13.9081,0.2349,0.1957
5700,0.1783,-13.9699,0.1976,0.1629
5800,0.1075,-13.7504,0.2255,0.2023
5900,0.1863,-13.5017,0.8988,0.6802
6000,0.2144,-14.0462,1.2283,1.103
6100,0.093,-13.7725,0.3264,0.2597
6200,0.1294,-13.582,0.6405,0.5345
6300,0.2366,-13.4891,0.781,0.6688
6400,0.1055,-13.3899,0.2167,0.1865
6500,0.1773,-13.1251,1.0528,0.8698
6600,0.2033,-13.4875,0.5732,0.4805
6700,0.0957,-13.1012,1.0699,0.8839
6800,0.128,-13.5173,0.348,0.2856
6900,0.152,-13.4394,0.5475,0.4671
7000,0.0867,-13.1466,0.4315,0.3481
7100,0.1572,-13.1035,1.1147,0.8935
7200,0.1601,-13.3333,0.7344,0.5769
7300,0.0801,-13.1693,0.5238,0.4003
7400,0.133,-13.2318,0.998,0.8339
7500,0.1254,-13.2238,0.3728,0.3336
7600,0.0804,-12.9995,2.1811,1.8712
7700,0.1695,-13.214,1.4846,1.313
7800,0.1626,-13.1235,0.7255,0.6054
7900,0.0808,-13.1136,0.4485,0.3784
8000,0.0978,-13.1047,0.4371,0.3809
8100,0.1438,-13.4501,0.2812,0.236
8200,0.0767,-13.0948,1.0447,0.9086
8300,0.1205,-13.0873,2.0407,1.755
8400,0.3863,-13.3426,1.3822,1.211
8500,0.0881,-13.2368,0.4059,0.3348
8600,0.0902,-13.4494,0.4067,0.3353
8700,0.1579,-13.4676,0.6204,0.5122
8800,0.0813,-13.1874,0.2976,0.2499
8900,0.1752,-13.3688,0.7743,0.6162
9000,0.1754,-13.1463,1.7356,1.4863
9100,0.1167,-13.2582,1.7933,1.481
9200,0.1702,-13.2538,2.8305,2.3069
9300,0.1682,-13.3843,0.5765,0.5306
9400,0.0849,-13.1417,1.0053,0.8919
9500,0.0927,-13.556,0.9678,0.8434
9600,0.1564,-13.4276,1.4233,1.2713
9700,0.0721,-13.1559,0.9278,0.8561
9800,0.1343,-13.7953,2.2259,1.8683
9900,0.153,-13.3415,3.2292,2.5157
10000,0.0746,-13.3903,1.5657,1.3079
10100,0.1696,-13.3305,1.5745,1.2927
10200,0.1232,-13.4615,0.6857,0.5858
10300,0.0696,-13.8464,0.3025,0.2717
10400,0.138,-13.8392,1.6303,1.4004
10500,0.1847,-13.5272,1.8505,1.5759
10600,0.129,-13.593,2.5533,1.9884
10700,0.1198,-13.4917,0.9814,0.7569
10800,0.1413,-13.8469,1.1653,0.9311
10900,0.0804,-13.5164,1.0707,0.8134
11000,0.1048,-13.7139,0.9408,0.8426
11100,0.1387,-13.4846,1.3109,1.0691
11200,0.0838,-13.5642,1.2461,1.0358
11300,0.1265,-13.8061,1.2204,1.0406
11400,0.1337,-13.6432,0.8035,0.6555
11500,0.0949,-13.631,1.0825,0.9738
11600,0.155,-13.7833,4.2442,3.4916
11700,0.1862,-13.7445,2.3963,2.1218
11800,0.1322,-13.7328,1.2127,1.1114
11900,0.1612,-13.5461,4.4274,3.6532
12000,0.2125,-13.9064,2.9509,2.6191
12100,0.1196,-13.4392,0.6773,0.5714
12200,0.133,-13.6979,0.8534,0.7337
12300,0.1448,-13.7463,0.7711,0.6914
12400,0.0771,-13.5663,0.5004,0.4099
12500,0.1365,-13.9481,1.265,1.1344
12600,0.1826,-13.6771,1.3648,1.1559
12700,0.1269,-13.8267,3.5337,2.7174
12800,0.1505,-13.808,1.8006,1.6126
12900,0.2267,-13.9222,1.1982,0.9932
13000,0.0972,-13.2881,0.8378,0.7596
13100,0.1068,-13.9521,0.9788,0.7807
13200,0.1493,-13.9706,0.7676,0.6481
13300,0.0939,-13.7696,1.1974,0.9192
13400,0.1861,-14.0865,1.0795,0.9333
13500,0.1725,-14.0665,1.0417,0.825
13600,0.1033,-13.6447,1.6789,1.4234
13700,0.1717,-14.021,3.0683,2.6177
13800,0.1775,-13.9738,1.2372,1.1028
13900,0.0945,-14.0369,0.8368,0.6877
14000,0.1176,-13.7781,1.3222,1.0394
14100,0.1636,-14.0898,1.6096,1.4052
14200,0.1091,-13.9801,4.3249,3.4511
14300,0.1207,-14.3457,1.0089,0.8921
14400,0.2151,-14.1171,4.5575,3.5333
14500,0.118,-14.0828,1.5822,1.2287
14600,0.1173,-14.06,1.1216,0.8943
14700,0.1105,-14.115,0.6423,0.5331
14800,0.0877,-14.0395,1.1225,0.9785
14900,0.1641,-14.3682,1.3294,1.1057
15000,0.1985,-14.1099,1.4291,1.1366
15100,0.118,-13.7019,0.8694,0.7602
15200,0.1408,-14.0912,0.8947,0.7169
15300,0.1501,-13.9451,1.9761,1.7205
15400,0.0947,-13.9506,1.7045,1.4645
15500,0.1355,-13.9756,0.7898,0.6872
15600,0.2767,-14.0565,2.5779,2.1709
15700,0.1445,-14.199,1.6428,1.4509
15800,0.1435,-14.1663,0.6293,0.5025
15900,0.1542,-14.0111,0.6043,0.4797
16000,0.09,-14.1756,0.5378,0.4783
16100,0.227,-14.0823,2.7452,2.0955
16200,0.1863,-13.9258,0.8761,0.7925
16300,0.0983,-14.2687,0.8349,0.718
16400,0.1377,-14.0409,1.5555,1.2286
16500,0.1869,-14.1535,1.5845,1.2962
16600,0.1111,-13.9945,0.7266,0.645
16700,0.1517,-14.1649,1.187,1.0453
16800,0.167,-14.3278,1.3045,1.1307
16900,0.1091,-14.1845,0.5457,0.4904
17000,0.1741,-14.4453,1.9973,1.6582
17100,0.3387,-14.372,3.4666,2.7614
17200,0.1421,-14.2571,0.8424,0.694
17300,0.2118,-13.9006,2.1929,1.8236
17400,0.1987,-14.5419,1.7216,1.3615
17500,0.1222,-14.147,1.5172,1.2599
17600,0.1504,-14.5702,1.7522,1.4972
17700,0.1247,-14.3709,0.704,0.5777
17800,0.1115,-14.8814,1.4626,1.1511
17900,0.1425,-14.7643,3.3098,2.6787
18000,0.1966,-14.4752,1.7057,1.381
18100,0.1143,-14.4711,0.823,0.6829
18200,0.1816,-14.913,1.4542,1.259
18300,0.1613,-14.5627,1.3926,1.199
18400,0.1111,-14.899,1.8271,1.4438
18500,0.1585,-14.4848,3.2636,2.6483
18600,0.1624,-14.7275,1.6409,1.5062
18700,0.1461,-14.8778,2.0613,1.7192
18800,0.1877,-14.5898,1.5451,1.2726
18900,0.2522,-14.2879,2.5208,2.0257
19000,0.1406,-14.4387,1.1713,1.0542
19100,0.1817,-14.7653,0.9665,0.79
19200,0.1711,-14.9648,1.246,1.0432
19300,0.1023,-14.207,0.9691,0.8712
19400,0.1618,-14.6189,1.0683,0.8567
19500,0.2033,-14.7491,2.6859,2.2287
19600,0.1307,-14.4039,2.2664,1.818
19700,0.1578,-14.8022,2.3061,1.8748
19800,0.2713,-14.6985,3.5659,3.0902
19900,0.1704,-14.5532,1.3328,1.0937
20000,0.2074,-14.6919,1.454,1.203
20100,0.1931,-14.9585,2.0449,1.7418
20200,0.1143,-14.5362,1.4923,1.208
20300,0.1529,-14.4302,1.6423,1.3628
20400,0.2447,-14.567,2.7754,2.2684
20500,0.1432,-14.4598,0.9007,0.7922
20600,0.14,-14.6004,1.2162,0.9724
20700,0.1933,-14.5113,1.0956,0.8413
20800,0.1257,-14.2102,1.7172,1.2897
20900,0.1877,-14.5557,1.4758,1.2252
21000,0.2138,-14.7301,2.2595,1.9296
21100,0.2108,-14.5547,9.8868,8.2131
21200,0.3832,-14.2853,2.9474,2.4872
21300,0.2538,-14.7934,1.308,1.0945
21400,0.1301,-14.5014,0.9804,0.7162
21500,0.204,-14.7527,1.1509,0.9456
21600,0.2161,-14.8098,1.1758,0.9602
21700,0.1356,-14.2835,0.817,0.6787
21800,0.2028,-14.4898,1.1888,0.9128
21900,0.2186,-14.4893,1.6107,1.4113
22000,0.1382,-14.2032,0.9623,0.8505
22100,0.1891,-14.4821,1.4045,1.205
22200,0.23,-14.9817,3.3002,2.6678
22300,0.158,-14.4955,1.988,1.7267
22400,0.2072,-14.7166,1.2336,0.9272
22500,0.2296,-14.5004,1.2077,1.0844
22600,0.1432,-14.5158,0.9802,0.8419
22700,0.2121,-14.533,1.5212,1.2298
22800,0.1891,-14.3787,0.9841,0.8457
22900,0.1413,-14.2155,1.0512,0.8313
23000,0.1569,-14.4556,1.2496,1.0634
23100,0.2011,-14.5129,3.1325,2.5774
23200,0.1647,-14.3926,2.8579,2.3528
23300,0.2051,-14.7243,2.237,1.7868
23400,0.2079,-14.8069,1.5545,1.3087
23500,0.1188,-14.1426,2.7158,2.1265
23600,0.1739,-14.0172,1.3629,1.1899
23700,0.2011,-14.4392,1.3242,1.0174
23800,0.1267,-14.319,1.5274,1.2341
23900,0.1833,-14.4388,1.8626,1.651
24000,0.1807,-14.28,0.8703,0.7166
24100,0.1086,-14.2629,1.366,1.0769
24200,0.1937,-14.4928,5.6366,4.6951
24300,0.2713,-14.4318,1.9908,1.5538
24400,0.1073,-14.4923,0.7696,0.6706
24500,0.1123,-14.5139,1.1994,1.0213
24600,0.2193,-14.6051,1.3941,1.1146
24700,0.1149,-14.1748,1.1664,0.8807
24800,0.1303,-14.3511,0.8729,0.7112
24900,0.227,-14.3332,1.4163,1.2302
25000,0.1013,-14.4804,1.1032,0.8907
25100,0.1257,-14.3086,1.2848,1.0202
25200,0.166,-14.4909,1.6262,1.2495
25300,0.1305,-14.384,1.0509,0.8454
25400,0.1331,-14.4284,1.1577,0.9198
25500,0.1438,-14.3017,2.1572,1.6724
25600,0.1038,-14.3835,1.0643,0.7749
25700,0.1621,-14.1251,1.1168,0.9291
25800,0.251,-14.6622,7.0815,5.9773
25900,0.1668,-14.1054,2.8666,2.3119
26000,0.1655,-14.3998,1.272,1.074
26100,0.1283,-14.1679,2.4368,1.9671
26200,0.1621,-14.3306,1.9938,1.7638
26300,0.1801,-14.4123,2.4508,1.9404
26400,0.1654,-14.0808,1.4266,1.1403
26500,0.1343,-13.9467,1.0028,0.7844
26600,0.1369,-14.0367,0.8158,0.6508
26700,0.1645,-14.0929,1.4257,1.1231
26800,0.0998,-14.2454,1.1379,0.9209
26900,0.155,-13.8583,1.0868,0.834
27000,0.1392,-13.9538,1.0885,0.8745
27100,0.0949,-13.7918,0.5372,0.4863
27200,0.1544,-14.1592,1.1574,1.0512
27300,0.208,-13.9387,1.5466,1.3431
27400,0.1366,-13.7694,2.932,2.3708
27500,0.1652,-13.9279,1.9854,1.5741
27600,0.2066,-13.8939,1.3888,1.1391
27700,0.1233,-13.7475,0.9973,0.814
27800,0.146,-13.8973,1.283,1.0548
27900,0.1764,-13.9477,1.7936,1.426
28000,0.11,-13.8697,1.4506,1.1788
28100,0.1289,-14.0881,1.7431,1.4688
28200,0.174,-13.761,1.5402,1.2701
28300,0.1349,-14.1437,1.7893,1.4081
28400,0.1373,-13.7452,1.1067,0.8658
28500,0.2438,-13.915,2.5893,2.2628
28600,0.1701,-14.0424,1.5115,1.1712
28700,0.1586,-13.7519,1.548,1.3074
28800,0.1897,-13.7929,0.8429,0.7123
28900,0.1105,-13.7333,0.8929,0.7779
29000,0.1273,-13.7324,0.5478,0.4853
29100,0.1429,-13.867,1.3667,1.1862
29200,0.1324,-13.7782,2.1932,1.8491
29300,0.2,-14.0287,2.1506,1.6625
29400,0.2002,-13.7549,2.4299,1.9574
29500,0.1357,-13.984,1.5254,1.2204
29600,0.2384,-14.0294,1.8494,1.4433
29700,0.2243,-13.8309,2.0054,1.7096
29800,0.132,-13.5973,1.8687,1.5412
29900,0.1604,-13.7299,2.8641,2.4637
30000,0.1533,-13.844,1.0904,0.9404
30100,0.0991,-13.5174,0.9364,0.6624
30200,0.1321,-13.4573,1.6512,1.4177
30300,0.1786,-13.5792,1.3452,1.0877
30400,0.1272,-13.8077,2.7094,2.1337
30500,0.1601,-13.5076,1.7388,1.4182
30600,0.2009,-13.5754,1.9529,1.5585
30700,0.1048,-13.6254,1.0093,0.7811
30800,0.1994,-13.5707,1.1534,0.9862
30900,0.2338,-13.6587,1.339,1.0946
31000,0.1387,-13.0998,2.1247,1.6595
31100,0.1516,-13.7917,2.1269,1.7571
31200,0.1852,-13.586,1.6398,1.3917
31300,0.1323,-13.4232,1.8217,1.4518
31400,0.148,-13.8131,1.4957,1.3193
31500,0.2176,-13.8452,1.6132,1.2911
31600,0.1344,-13.2623,1.7083,1.3858
31700,0.148,-13.4419,1.1917,1.035
31800,0.1389,-13.4962,1.2224,1.0537
31900,0.1531,-13.252,1.4734,1.1403
32000,0.1937,-13.3974,2.2853,1.87
32100,0.235,-13.577,2.0395,1.6012
32200,0.1652,-13.468,1.6312,1.2847
32300,0.1881,-13.4465,1.2182,1.0457
32400,0.2103,-13.635,1.3435,1.1235
32500,0.1251,-13.5359,0.8789,0.7644
32600,0.1545,-13.5496,0.8515,0.6619
32700,0.2019,-13.6177,1.8837,1.4868
32800,0.1145,-13.3383,1.0749,0.9344
32900,0.1528,-13.5391,1.2651,1.1418
33000,0.1696,-13.5341,2.1535,1.7846
33100,0.1253,-13.3257,0.9009,0.7339
33200,0.1954,-13.7483,2.6605,2.0913
33300,0.2008,-13.6444,2.04,1.7324
33400,0.15,-13.501,1.913,1.6502
33500,0.1897,-13.5721,3.1803,2.5772
33600,0.1924,-13.4173,2.1315,1.8908
33700,0.1513,-12.8515,1.8843,1.5041
33800,0.1399,-13.292,0.9491,0.7491
33900,0.1437,-13.3999,1.0718,0.8976
34000,0.1038,-13.1772,0.9698,0.8028
34100,0.1867,-13.2446,1.741,1.4056
34200,0.1435,-13.3788,1.3959,1.2476
34300,0.1271,-12.9522,1.3864,1.1396
34400,0.1349,-13.1795,1.3693,1.1677
34500,0.1801,-12.8291,1.1398,0.9638
34600,0.0982,-12.7911,1.0053,0.7814
34700,0.1171,-13.0537,1.0543,0.8736
34800,0.1535,-13.0674,2.1401,1.6937
34900,0.1105,-13.169,1.0777,0.8824
35000,0.1415,-13.1152,1.3987,1.1269
35100,0.1416,-13.312,1.4817,1.215
35200,0.0983,-13.2477,1.4348,1.1761
35300,0.1458,-13.2376,1.0808,0.9092
35400,0.1536,-13.2001,1.572,1.3043
35500,0.1029,-13.0317,1.1692,0.9139
35600,0.1797,-13.3482,2.3303,1.9796
35700,0.2432,-13.1461,1.8959,1.5875
35800,0.1515,-12.9315,2.1091,1.8448
35900,0.1546,-12.5744,1.8893,1.5036
36000,0.2063,-13.0983,1.8429,1.5821
36100,0.122,-12.8238,1.7616,1.4331
36200,0.1442,-12.9112,1.377,1.1281
36300,0.1674,-13.0738,2.6196,2.2277
36400,0.1463,-13.0525,1.6702,1.4725
36500,0.173,-12.9864,1.3197,1.094
36600,0.2108,-12.805,2.0177,1.6495
36700,0.1364,-12.835,1.2495,1.0103
36800,0.1722,-13.0588,1.5486,1.2162
36900,0.2104,-12.9003,1.9606,1.644
37000,0.1289,-12.4231,1.2601,0.9334
37100,0.1453,-13.1443,1.3161,1.0451
37200,0.1575,-12.8917,1.6244,1.2977
37300,0.1183,-12.764,1.4366,1.1289
37400,0.1513,-12.6406,1.1455,0.9216
37500,0.1728,-12.8629,1.9239,1.5404
37600,0.1106,-12.8048,1.3818,1.147
37700,0.1658,-12.7131,4.0274,3.4759
37800,0.204,-12.978,1.5511,1.2887
37900,0.1086,-12.5215,1.5719,1.2516
38000,0.1468,-12.4949,1.4462,1.2328
38100,0.1568,-12.9263,1.4889,1.3358
38200,0.1262,-12.9448,1.6185,1.3309
38300,0.1295,-12.9918,1.5731,1.2293
38400,0.1514,-12.8654,1.8181,1.4724
38500,0.1112,-12.3066,1.2121,0.9394
38600,0.1629,-12.7204,1.5452,1.3237
38700,0.1852,-12.2811,2.3992,1.8709
38800,0.1763,-12.5238,5.265,3.9992
38900,0.1989,-12.6898,1.8799,1.4963
39000,0.2226,-12.9608,2.1785,1.9008
39100,0.1452,-12.5605,0.988,0.7793
39200,0.1502,-12.5829,1.1523,0.9492
39300,0.2167,-12.7104,1.3174,1.0655
39400,0.1222,-12.9203,2.4286,2.2269
39500,0.2027,-12.6028,1.5572,1.314
39600,0.1751,-12.6993,1.6892,1.3385
39700,0.1426,-12.8639,2.1681,1.6178
39800,0.1938,-13.093,1.7611,1.465
39900,0.1673,-12.8921,1.6012,1.3374
40000,0.129,-12.6922,1.5744,1.2701
40100,0.1603,-12.2823,2.0641,1.6094
40200,0.2218,-12.3825,1.9863,1.542
40300,0.1397,-12.1595,1.292,1.0308
40400,0.1742,-12.6537,1.6394,1.3666
40500,0.2245,-12.2656,4.6195,3.7222
40600,0.1544,-12.1593,1.9128,1.6539
40700,0.1874,-12.4706,1.1166,0.9029
40800,0.2019,-12.6843,2.2024,1.678
40900,0.1804,-12.6806,3.1918,2.556
41000,0.2126,-12.3241,2.8164,2.348
41100,0.201,-12.527,2.3565,1.9077
41200,0.1426,-12.4299,1.9916,1.5515
41300,0.1733,-12.4962,0.8666,0.7632
41400,0.1648,-12.3199,1.4027,1.1537
41500,0.1149,-12.3408,1.1312,0.8939
41600,0.1407,-12.3997,0.6311,0.5313
41700,0.1667,-12.3877,0.9557,0.7927
41800,0.1248,-12.0157,0.8152,0.6829
41900,0.18,-12.1839,1.1707,0.907
42000,0.2425,-12.1882,2.9196,2.346
42100,0.2358,-12.0584,3.0509,2.4217
42200,0.2155,-12.1888,2.5137,2.0962
42300,0.191,-12.0288,2.5106,2.0834
42400,0.1525,-11.996,1.3227,1.0268
42500,0.2114,-12.0033,1.7254,1.4148
42600,0.2104,-12.5345,2.2086,1.7724
42700,0.1341,-12.3231,2.5742,2.0304
42800,0.2049,-12.2351,1.931,1.459
42900,0.1817,-11.9965,1.0485,0.8861
43000,0.1198,-12.1321,1.2428,1.0303
43100,0.1667,-12.5082,1.3875,1.1215
43200,0.1477,-12.0463,1.0123,0.7865
43300,0.1216,-11.7655,1.2693,1.0012
43400,0.1772,-12.1179,1.6174,1.3328
43500,0.2163,-12.093,1.7315,1.4807
43600,0.1682,-11.9971,1.7575,1.3469
43700,0.2502,-12.243,3.5298,2.8367
43800,0.2225,-12.3253,2.6767,2.3002
43900,0.1982,-12.0291,1.735,1.356
44000,0.1983,-11.8579,1.964,1.5927
44100,0.2389,-12.3,3.1633,2.5362
44200,0.1827,-12.1492,1.9816,1.5385
44300,0.1759,-12.1341,1.6754,1.3182
44400,0.2147,-11.7684,3.4219,2.7261
44500,0.1724,-12.1723,1.305,1.125
44600,0.1819,-12.0562,1.3816,1.1429
44700,0.2043,-12.1336,1.6259,1.2183
44800,0.1257,-11.8306,1.5635,1.1657
44900,0.1736,-11.7919,1.0666,0.8599
45000,0.1779,-12.1548,1.3639,1.0301
45100,0.1144,-11.6445,1.7767,1.4599
45200,0.198,-12.1703,2.2492,1.8433
45300,0.3434,-11.6298,2.3258,1.8776
45400,0.1703,-12.0127,2.0899,1.7855
45500,0.1667,-11.3923,1.5628,1.236
45600,0.1708,-12.1266,1.3342,1.1249
45700,0.1246,-11.8498,1.3132,1.0889
45800,0.136,-11.7307,1.4051,1.1652
45900,0.1905,-11.9532,2.281,1.839
46000,0.1281,-11.753,1.6274,1.3218
46100,0.1542,-11.9248,2.3532,1.8356
46200,0.186,-11.969,1.675,1.3789
46300,0.1391,-11.3971,1.2073,1.0028
46400,0.2637,-11.7371,2.7528,2.1464
46500,0.2866,-11.9622,3.0831,2.4417
46600,0.1637,-11.8903,2.1035,1.5719
46700,0.1554,-11.7375,1.0901,0.9249
46800,0.1952,-11.7021,1.2155,0.9214
46900,0.1227,-11.5762,1.0971,0.8871
47000,0.2032,-11.8488,1.3639,1.0991
47100,0.1983,-11.948,1.226,0.9993
47200,0.1268,-11.5918,1.3386,1.0525
47300,0.1604,-11.4302,0.978,0.8155
47400,0.1536,-11.8809,1.2514,1.0238
47500,0.1243,-11.8707,1.3887,1.1947
47600,0.1636,-11.5178,2.4816,1.8828
47700,0.1844,-11.6443,1.7505,1.4777
47800,0.1431,-11.9366,1.6142,1.2976
47900,0.1862,-11.6081,1.5963,1.3325
48000,0.1752,-11.868,2.1293,1.6948
48100,0.1559,-11.5089,1.9598,1.6522
48200,0.1838,-11.7136,1.3689,1.0766
48300,0.1843,-11.7865,1.708,1.1696
48400,0.1448,-11.9168,1.1718,0.955
48500,0.1888,-11.3995,1.8949,1.514
48600,0.2242,-11.6243,2.0867,1.6504
48700,0.1726,-11.4257,2.1732,1.8109
48800,0.1963,-11.8088,3.3891,2.6724
48900,0.2,-11.5063,2.2315,1.6854
49000,0.1508,-11.7149,1.6218,1.3368
49100,0.183,-11.6827,1.3256,1.0773
49200,0.1764,-11.4664,1.519,1.1354
49300,0.1176,-11.5948,1.3257,1.0505
49400,0.1539,-11.808,1.1232,0.9776
49500,0.1801,-11.4757,1.6472,1.2563
49600,0.1445,-11.63,1.7152,1.2156
49700,0.1978,-11.5324,1.3163,1.1333
49800,0.1889,-11.4356,1.3821,1.106
49900,0.1276,-11.3146,1.5535,1.2658
50000,0.2272,-11.7603,2.3684,1.7704
50100,0.2193,-11.4177,1.6778,1.3553
50200,0.149,-11.4946,1.2323,0.9789
50300,0.1869,-11.4102,2.2201,1.6536
50400,0.1959,-11.4395,1.6176,1.1739
50500,0.1692,-11.4613,1.2993,1.0317
50600,0.1803,-11.3951,1.6161,1.2881
50700,0.1892,-11.5515,2.2462,1.5787
50800,0.137,-11.6777,2.0925,1.7207
50900,0.1572,-11.3787,1.476,1.2348
51000,0.1769,-11.6763,2.5223,1.7809
51100,0.1557,-11.2101,1.6363,1.3934
51200,0.1915,-11.3484,2.0362,1.6508
51300,0.1904,-11.4083,1.8631,1.502
51400,0.1438,-11.4724,2.1077,1.6471
51500,0.186,-11.465,1.8989,1.618
51600,0.2045,-11.2411,3.2451,2.4681
51700,0.1867,-11.5208,1.4117,1.1278
51800,0.1648,-11.0241,0.8688,0.7169
51900,0.1916,-11.4573,1.257,0.9877
52000,0.1551,-11.1571,1.4526,1.1429
52100,0.2033,-11.5384,1.2164,1.0135
52200,0.1744,-11.3798,1.0828,0.8986
52300,0.1419,-11.637,1.5926,1.3269
52400,0.2062,-11.5655,1.489,1.2077
52500,0.1945,-11.3046,1.6771,1.4021
52600,0.152,-11.4888,2.3626,1.8811
52700,0.2003,-11.232,1.7874,1.3624
52800,0.2735,-11.5637,2.507,1.8792
52900,0.1749,-11.2478,1.4121,1.0784
53000,0.2491,-11.6659,2.7466,2.1726
53100,0.2034,-11.5138,1.9967,1.612
53200,0.147,-11.2042,1.5843,1.3279
53300,0.2088,-11.3418,1.3248,1.1037
53400,0.1975,-11.6752,1.2849,1.0505
53500,0.1246,-11.4356,1.2472,0.9392
53600,0.1981,-11.472,3.5387,3.0419
53700,0.2096,-11.5345,2.0862,1.6057
53800,0.1579,-11.4114,2.1291,1.5734
53900,0.1697,-11.6344,0.9387,0.7143
54000,0.1786,-11.4136,0.9321,0.7643
54100,0.1111,-11.3623,1.3608,1.0126
54200,0.3098,-11.5386,1.5923,1.3495
54300,0.2509,-11.4746,3.0145,2.2506
54400,0.2087,-11.4734,1.6426,1.2541
54500,0.2273,-11.4911,1.2675,0.9725
54600,0.2135,-11.366,1.453,1.1602
54700,0.1654,-11.1057,1.4515,1.0741
54800,0.1882,-11.4478,2.1527,1.6274
54900,0.2135,-11.6351,1.9968,1.4572
55000,0.1554,-11.3247,1.4952,1.1624
55100,0.1959,-11.3108,1.3028,1.0566
55200,0.2369,-11.2704,2.1504,1.691
55300,0.1962,-11.4113,2.4013,1.7848
55400,0.2175,-11.2459,2.0633,1.5736
55500,0.1942,-11.323,1.8443,1.4228
55600,0.1648,-11.6177,1.497,1.1906
55700,0.1717,-11.3747,1.6148,1.2413
55800,0.1759,-11.5444,2.0443,1.5054
55900,0.1604,-11.4063,2.1382,1.6493
56000,0.2048,-11.3349,2.7204,2.0821
56100,0.1952,-11.4801,1.7162,1.3151
56200,0.1546,-11.5509,1.209,0.8961
56300,0.169,-11.4824,1.329,1.015
56400,0.1925,-11.721,1.5326,1.2598
56500,0.1418,-11.2831,1.751,1.3602
56600,0.1608,-11.4142,1.2769,1.1307
56700,0.2187,-11.4307,2.8719,2.2367
56800,0.1868,-11.7098,2.0494,1.729
56900,0.2022,-11.638,2.1036,1.5408
57000,0.2043,-11.6719,1.7933,1.4701
57100,0.1664,-11.4387,1.4357,1.1431
57200,0.1669,-11.2352,1.6357,1.2602
57300,0.1901,-11.4545,1.6252,1.3377
57400,0.171,-11.3961,1.8035,1.4326
57500,0.2205,-11.4354,1.786,1.5783
57600,0.1898,-11.4362,1.8571,1.3855
57700,0.1431,-11.5147,1.2749,0.9792
57800,0.1967,-11.4118,1.7828,1.3878
57900,0.1856,-11.4763,1.8226,1.3895
58000,0.1814,-11.6377,1.6939,1.3397
58100,0.2386,-11.4124,2.5237,1.9004
58200,0.3149,-11.8101,3.2257,2.3713
58300,0.2251,-11.578,2.4331,1.8624
58400,0.2139,-11.5787,1.5935,1.2186
58500,0.2556,-11.6371,2.1757,1.6415
58600,0.1795,-11.7349,1.247,0.9839
58700,0.1742,-11.7694,1.088,0.8251
58800,0.1865,-11.6721,1.149,0.9068
58900,0.1639,-11.6751,1.365,0.948
59000,0.1963,-11.9207,1.5828,1.2601
59100,0.1941,-11.8496,1.9149,1.4759
59200,0.2228,-11.534,1.8526,1.4302
59300,0.2852,-11.5673,1.8673,1.4116
59400,0.2628,-11.4196,2.043,1.7621
59500,0.1886,-11.2715,1.3881,1.1271
59600,0.2719,-11.7398,1.8536,1.5887
59700,0.2043,-11.2544,1.514,1.1904
59800,0.1895,-11.2825,1.2368,0.9797
59900,0.1921,-11.4066,2.1857,1.7664
60000,0.2269,-11.5668,1.3997,1.1714
